trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-102.50107064666787,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-131.05106431936284,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-38.156053368299496,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-163.41178660135566,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-135.08364875250234,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-91.47735221642235,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-68.98785607189676,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-96.8115148354082,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,6,10.265484439925217,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-170.88721446290356,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,11,-67.40002891460306,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-178.87660597542444,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,7,-41.779788579842084,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,14,9.520330258633354,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,8,18.336247244972817,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,13,6.731721424732784,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,17,30.79474634538205,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,10,11.242235572877222,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,3,-9.042775907228446,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,15,10.408755816998648,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,3,27.40940055790109,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,14,10.821338991950347,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-64.07588383001753,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,13,14.76642865005395,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,3,31.03685644493543,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,16,14.867497003436544,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,10,37.25041468881861,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",35,16,22.904359762557984,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,3,35.31390775545066,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,3,26.38584115808926,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
