trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-246.97031598578812,"{0: 14, 1: 5, 2: 5, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,2,-171.72135686679835,"{0: 4, 1: 4, 2: 8, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-150.75948406959782,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-123.41797355167412,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-173.00201570719298,"{0: 8, 1: 0, 2: 10, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-54.61190580185046,"{0: 22, 1: 0, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,3.3408360567526407,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-54.43648857384129,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-68.42223834210311,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-88.79113170097796,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-84.89845580127128,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,1,-37.86202722715296,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-82.95993148225375,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-29.71717969959112,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-181.06316583082662,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-179.80724101555725,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-87.35234595155572,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-176.59371156815155,"{0: 10, 1: 3, 2: 9, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-109.93006319749506,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-66.48306996326146,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-53.16610870673057,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-56.67817685162684,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-182.30995868045056,"{0: 14, 1: 7, 2: 6, 3: 1, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,5,-147.98513369356712,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-58.65269588137402,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,16,-33.78424520083245,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,3,-96.60712790730716,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-133.66525717488665,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-185.48259048618837,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-75.37326525131087,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
